RegionName,City,State,Metro,CountyName,SizeRank,2017_avg,2017_std,2018_avg,2018_std
23607,Newport News,VA,Virginia Beach-Norfolk-Newport News,Newport News City,2698,857.5,10.65559321,870.25,19.63574547
75082,Richardson,TX,Dallas-Fort Worth-Arlington,Dallas County,2699,2313.571429,79.49457689,2251.9,60.80863426
85013,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2700,1265.75,81.70666537,1434.45,101.7385006
31401,Savannah,GA,Savannah,Chatham County,2701,1469.375,116.8783422,1607,115.8274579
74112,Tulsa,OK,Tulsa,Tulsa County,2702,874.375,23.9383975,885.75,33.65356593
33066,Coconut Creek,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,2703,1430.833333,53.4179017,1442.25,73.77711366
91602,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2704,3260.2,237.9892014,3563.5,255.4828761
79934,El Paso,TX,El Paso,El Paso County,2705,1169.458333,25.46685618,1189.4,37.41978087
48503,Flint,MI,Flint,Genesee County,2706,664.1666667,35.98803814,663.5,30.25309901
79930,El Paso,TX,El Paso,El Paso County,2707,786.875,15.34753645,802.5,32.74904579
77583,Arcola,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,2708,1576.785714,14.06072835,1712.5,104.019229
30122,Lithia Springs,GA,Atlanta-Sandy Springs-Roswell,Douglas County,2709,1124.818182,62.53299955,1179.05,56.21941391
80922,Colorado Springs,CO,Colorado Springs,El Paso County,2710,1491.875,39.56962482,1588.5,30.35621847
81501,Grand Junction,CO,Grand Junction,Mesa County,2711,1021.833333,50.79465742,1083.25,31.26599591
77045,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,2712,1255.416667,36.03865594,1272.5,46.65029475
70448,Mandeville,LA,New Orleans-Metairie,Saint Tammany Parish,2713,1447.272727,70.43254789,1377.5,65.62202374
7430,Mahwah,NJ,New York-Newark-Jersey City,Bergen County,2714,2236.25,63.75,2397.5,99.0265116
79407,Lubbock,TX,Lubbock,Lubbock County,2715,1069.5,68.35385871,1078,26.75817632
33936,Lehigh Acres,FL,Cape Coral-Fort Myers,Lee County,2716,997.0416667,15.15951067,1051.25,34.31927301
45202,Cincinnati,OH,Cincinnati,Hamilton County,2717,1711.583333,76.56174886,1813.5,75.86336402
85040,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2718,1052.958333,37.35832032,1059.9,35.36721646
92508,Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,2718,2305.375,47.31856797,2377.2,57.56135857
22180,Vienna,VA,Washington-Arlington-Alexandria,Fairfax County,2720,2566.25,134.2746718,2609.95,195.9847507
32801,Orlando,FL,Orlando-Kissimmee-Sanford,Orange County,2721,1559.083333,46.38913007,1579.35,37.6988395
20653,Lexington Park,MD,California-Lexington Park,Saint Marys County,2722,1538.541667,51.90594793,1531.25,39.23088707
64014,Blue Springs,MO,Kansas City,Jackson County,2722,1068.125,69.74749846,1154.9,90.47010556
73003,Edmond,OK,Oklahoma City,Oklahoma County,2724,1212.708333,35.17009758,1212,44.88596663
60156,Lake in the Hills,IL,Chicago-Naperville-Elgin,McHenry County,2725,1527.25,72.23990702,1563.05,45.39848566
77316,Montgomery,TX,Houston-The Woodlands-Sugar Land,Montgomery County,2726,1618.333333,129.2499731,1498,54.27706698
34654,New Port Richey,FL,Tampa-St. Petersburg-Clearwater,Pasco County,2727,1301.458333,32.45924261,1310.2,29.985163
40160,Radcliff,KY,Elizabethtown-Fort Knox,Hardin County,2727,881.25,41.72703959,934,43.90614991
44137,Maple Heights,OH,Cleveland-Elyria,Cuyahoga County,2729,911.7916667,17.82724779,926.5,12.40967365
92604,Irvine,CA,Los Angeles-Long Beach-Anaheim,Orange County,2729,3003.25,67.09088984,3051.45,42.95663511
27527,Clayton,NC,Raleigh,Johnston County,2731,1522.708333,38.70909579,1562.75,30.52560401
33556,Odessa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,2732,1788.181818,124.2801587,1872.5,115.2226106
21114,Crofton,MD,Baltimore-Columbia-Towson,Anne Arundel County,2733,1784.666667,42.3144643,1832.75,84.39823754
80130,Highlands Ranch,CO,Denver-Aurora-Lakewood,Douglas County,2734,2325.416667,49.73715635,2349.15,43.24352553
85381,Peoria,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2735,1304.375,47.59994967,1412.4,47.88360889
63104,Saint Louis,MO,St. Louis,Saint Louis City,2736,1193.708333,70.82856602,1224.75,53.20303093
22032,Fairfax,VA,Washington-Arlington-Alexandria,Fairfax County,2737,2548,94,2516.75,100.9767919
77098,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,2737,1935,57.99224086,1861.75,44.95289201
77062,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,2739,1732.5,43.16875799,1761.25,42.37112814
85304,Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2740,1239.333333,45.12128717,1302.35,108.3577524
57105,Sioux Falls,SD,Sioux Falls,Minnehaha County,2741,995.75,70.78047047,1080.75,49.56119954
11542,Glen Head,NY,New York-Newark-Jersey City,Nassau County,2742,3262.5,210.9008456,3052.5,170.4589393
92301,Adelanto,CA,Riverside-San Bernardino-Ontario,San Bernardino County,2743,1182.291667,47.29625528,1212.75,30.83119362
85085,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2744,1652.833333,77.13714338,1673.2,28.45891776
2134,Boston,MA,Boston-Cambridge-Newton,Suffolk County,2745,2604.166667,177.3160236,2805.75,212.4795578
70124,New Orleans,LA,New Orleans-Metairie,Orleans Parish,2746,1912.954545,83.96981453,1869.5,62.6278692
76002,Arlington,TX,Dallas-Fort Worth-Arlington,Tarrant County,2747,1657.708333,45.35115688,1730.4,40.12094216
89044,Henderson,NV,Las Vegas-Henderson-Paradise,Clark County,2748,1655.916667,36.67130652,1731,31.74507836
43607,Toledo,OH,Toledo,Lucas County,2749,812.5,27.47157622,864.4,45.88289442
68105,Omaha,NE,Omaha-Council Bluffs,Douglas County,2750,1196.5,42.28098649,1160,65.87867637
37138,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,2751,1494.583333,75.94428696,1545.25,74.98708222
27617,Raleigh,NC,Raleigh,Wake County,2752,1510.208333,74.91980666,1555.9,51.49310633
75078,Prosper,TX,Dallas-Fort Worth-Arlington,Collin County,2753,2286.136364,60.80299443,2393.5,106.8363234
32821,Williamsburg,FL,Orlando-Kissimmee-Sanford,Orange County,2754,1305.208333,29.41191534,1410.15,83.18174379
90272,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2755,8744.791667,513.1179794,9000.75,468.192068
63367,Lake Saint Louis,MO,St. Louis,Saint Charles County,2756,1528.5,39.92492956,1598.5,39.10242959
80439,Evergreen,CO,Denver-Aurora-Lakewood,Jefferson County,2756,2308.863636,112.6204589,2544,100.9653406
92011,Carlsbad,CA,San Diego-Carlsbad,San Diego County,2758,3484.541667,147.9921814,3604.4,104.8903713
19107,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,2759,1664.545455,46.58591991,1726.25,47.34514231
80831,Peyton,CO,Colorado Springs,El Paso County,2760,1695.875,68.81621811,1755.5,94.01329693
48009,Birmingham,MI,Detroit-Warren-Dearborn,Oakland County,2761,2053.75,96.54176557,2031.5,108.9965596
55446,Plymouth,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,2762,1821.25,69.6980093,1904.25,73.02439661
33544,Wesley Chapel,FL,Tampa-St. Petersburg-Clearwater,Pasco County,2763,1614.208333,33.68695243,1648.25,43.38850654
30248,Locust Grove,GA,Atlanta-Sandy Springs-Roswell,Henry County,2764,1279,45.45877253,1371.7,21.90342439
66208,Prairie Village,KS,Kansas City,Johnson County,2765,1514.583333,58.83268413,1573.75,72.87189101
30260,Morrow,GA,Atlanta-Sandy Springs-Roswell,Clayton County,2766,927.0833333,20.93724088,1020.75,55.29523035
60172,Roselle,IL,Chicago-Naperville-Elgin,DuPage County,2767,1555.909091,33.66399357,1574.5,41.5601973
98008,Bellevue,WA,Seattle-Tacoma-Bellevue,King County,2768,2716.25,88.84970925,2828,107.1085898
32413,Panama City Beach,FL,Panama City,Bay County,2769,1493.888889,79.01398532,1591,71.26710321
11361,New York,NY,New York-Newark-Jersey City,Queens County,2770,2436.363636,88.78193175,2420,50.99019514
84102,Salt Lake City,UT,Salt Lake City,Salt Lake County,2770,1383.125,68.17658597,1350.5,69.98928489
86404,Lake Havasu City,AZ,Lake Havasu City-Kingman,Mohave County,2772,1427.083333,59.03594715,1542.5,63.29494451
98199,Seattle,WA,Seattle-Tacoma-Bellevue,King County,2773,2985.625,148.5980491,3091.75,180.1320696
86403,Lake Havasu City,AZ,Lake Havasu City-Kingman,Mohave County,2774,1216.666667,47.14045208,1280.25,84.95918138
67216,Wichita,KS,Wichita,Sedgwick County,2775,709.1666667,18.80085695,734.95,41.680601
21223,Baltimore,MD,Baltimore-Columbia-Towson,Baltimore City,2776,1076.416667,33.6432468,1054.8,39.48050152
33991,Cape Coral,FL,Cape Coral-Fort Myers,Lee County,2776,1570.833333,48.04873105,1540.5,45.72745346
76126,Benbrook,TX,Dallas-Fort Worth-Arlington,Tarrant County,2778,1395,0,1481.25,66.92579846
33584,Seffner,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,2779,1336.541667,29.15437241,1393.35,32.09754664
98406,Tacoma,WA,Seattle-Tacoma-Bellevue,Pierce County,2780,1788.875,80.5996084,1927.5,89.92357867
60466,Park Forest,IL,Chicago-Naperville-Elgin,Cook County,2781,1238.958333,34.76795599,1264.5,22.18670773
80249,Denver,CO,Denver-Aurora-Lakewood,Denver County,2782,1918.958333,41.21157722,2008,36.68787266
34212,Bradenton,FL,North Port-Sarasota-Bradenton,Manatee County,2783,2276.166667,152.4001495,2709.25,83.62154328
20601,Waldorf,MD,Washington-Arlington-Alexandria,Charles County,2784,1794.583333,55.31946362,1843.25,38.42281223
39501,Gulfport,MS,Gulfport-Biloxi-Pascagoula,Harrison County,2785,790.2083333,18.32741382,783.75,25.03123049
30307,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,2786,2256.875,199.889618,2404.6,100.5215897
92119,San Diego,CA,San Diego-Carlsbad,San Diego County,2787,2326.666667,90.22348795,2262.75,106.3334966
77043,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,2788,1721.208333,78.92756657,1810.9,109.3539665
33558,Lutz,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,2789,2060.772727,173.7447663,2159.5,83.65703796
92394,Victorville,CA,Riverside-San Bernardino-Ontario,San Bernardino County,2790,1339.791667,48.30953078,1416,25.20416632
30291,Union City,GA,Atlanta-Sandy Springs-Roswell,Fulton County,2791,1101.458333,47.1970419,1161.8,30.41233302
98055,Renton,WA,Seattle-Tacoma-Bellevue,King County,2792,2087.8125,98.61095828,2112.25,99.57064075
29403,Charleston,SC,Charleston-North Charleston,Charleston County,2793,2437.291667,149.0436818,2416.75,99.29784741
84105,Salt Lake City,UT,Salt Lake City,Salt Lake County,2794,1775,75,1897.25,113.8828894
64052,Independence,MO,Kansas City,Jackson County,2795,813.3333333,29.05335131,867,19.88969582
46208,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,2796,782.9166667,45.03278127,897.4,84.35099288
95131,San Jose,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2797,3240.416667,93.640677,3401,105.5118477
85396,Buckeye,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2798,1625.208333,38.46614222,1672.25,37.52415888
77033,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,2799,1117.5,26.35607818,1174.5,44.81629168
91932,Imperial Beach,CA,San Diego-Carlsbad,San Diego County,2800,2292.8125,93.45317594,2460.25,100.5699384
33547,Riverview,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,2801,1951.166667,58.81975764,1936.5,111.5134521
84780,Washington,UT,St. George,Washington County,2802,1350.541667,46.22700254,1503.25,45.07285769
48204,Detroit,MI,Detroit-Warren-Dearborn,Wayne County,2803,692.9166667,23.73537561,753.75,12.56234453
79932,El Paso,TX,El Paso,El Paso County,2804,1261.125,39.03744196,1302.5,32.01562119
22182,Vienna,VA,Washington-Arlington-Alexandria,Fairfax County,2805,3230.416667,81.43142139,3309.75,124.2198152
20705,Beltsville,MD,Washington-Arlington-Alexandria,Prince Georges County,2806,1794.708333,60.70504452,1815.75,109.3849281
64130,Kansas City,MO,Kansas City,Jackson County,2807,691.0416667,15.32489578,714.85,17.86344032
32931,Cocoa Beach,FL,Palm Bay-Melbourne-Titusville,Brevard County,2808,1793.75,72.25893832,1827.25,42.22632473
33150,Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2809,1655.357143,103.9095466,1626.95,82.87775636
22043,Falls Church,VA,Washington-Arlington-Alexandria,Fairfax County,2810,2440.125,142.5181458,2475.75,138.1758391
37405,Chattanooga,TN,Chattanooga,Hamilton County,2811,1574.791667,97.30995545,1632.25,46.34719517
33127,Miami,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,2812,1909.166667,70.99980438,1989.9,110.2183741
98074,Sammamish,WA,Seattle-Tacoma-Bellevue,King County,2813,2718.333333,157.3025658,2748.75,109.5630526
48083,Troy,MI,Detroit-Warren-Dearborn,Oakland County,2814,1584,62.5299928,1569.75,80.8428259
85303,Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,2815,1155.916667,50.97173781,1228.7,22.460187
77478,Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,2816,1784.375,32.4378412,1791.75,31.68300017
52803,Davenport,IA,Davenport-Moline-Rock Island,Scott County,2817,933.3333333,46.83007106,937.25,51.38640384
19428,Conshohocken,PA,Philadelphia-Camden-Wilmington,Montgomery County,2818,1869.375,64.41341896,1916.5,72.89718787
33470,Loxahatchee Groves,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,2819,2317.65,135.6711189,2516.5,140.3575791
32750,Longwood,FL,Orlando-Kissimmee-Sanford,Seminole County,2820,1412.916667,63.33470393,1488.7,28.11512049
20190,Reston,VA,Washington-Arlington-Alexandria,Fairfax County,2821,2047.458333,69.86458877,2095,26.92582404
52245,Iowa City,IA,Iowa City,Johnson County,2822,1539.318182,85.77249843,1457.9,65.39449518
52241,Coralville,IA,Iowa City,Johnson County,2823,937.2916667,26.56474664,960.5,39.52530835
77803,Bryan,TX,College Station-Bryan,Brazos County,2823,1169.25,40.52853933,1204.25,25.66734306
97239,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,2825,2070.833333,127.2478443,2110.25,88.2712439
44306,Akron,OH,Akron,Summit County,2826,680.5,9.797958971,696.5,9.300537619
79602,Abilene,TX,Abilene,Taylor County,2827,1031.875,47.09946258,1114.9,80.63522803
64050,Independence,MO,Kansas City,Jackson County,2828,776.4583333,29.71143041,801.9,31.8031445
22485,King George,VA,,King George County,2829,1466.875,85.19050343,1401,53.17659259
